Id,StationId,LocationId,TimeStamp,MobileNumber,Battery,RainHourly,RainDaily,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag
5225,GUFEW111,18,2024-10-30 20:45:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-30 21:04:33.000,1,0,0,NULL,1
5250,GUFEW112,19,2024-10-30 23:30:00.0000000,,11.20,0.00,0.00,2024-10-31 00:19:33.000,1,0,0,NULL,1
5251,GUFEW112,19,2024-10-30 23:45:00.0000000,,11.20,0.00,0.00,2024-10-31 00:19:33.000,1,0,0,NULL,1
5252,GUFEW112,19,2024-10-31 00:00:00.0000000,,11.20,0.00,0.00,2024-10-31 00:19:33.000,1,0,0,NULL,1
5268,GUFEW111,18,2024-10-31 02:00:00.0000000," 9876543210",11.20,0.00,0.00,2024-10-31 02:19:33.000,1,0,0,NULL,1
2046,GUFEW112,19,2024-10-29 01:15:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2047,GUFEW111,18,2024-10-29 01:15:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2048,GUFEW111,18,2024-10-29 01:30:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2050,GUFEW112,19,2024-10-29 01:30:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2051,GUFEW112,19,2024-10-29 01:45:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2049,GUFEW111,18,2024-10-29 01:45:00.0000000," 9876543210",11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2052,GUFEW111,18,2024-10-29 02:00:00.0000000," 9876543210",11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2054,GUFEW112,19,2024-10-29 02:00:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2055,GUFEW112,19,2024-10-29 02:15:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2053,GUFEW111,18,2024-10-29 02:15:00.0000000," 9876543210",11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2056,GUFEW112,19,2024-10-29 02:30:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2057,GUFEW111,18,2024-10-29 02:30:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2058,GUFEW111,18,2024-10-29 02:45:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2059,GUFEW112,19,2024-10-29 02:45:00.0000000,,11.10,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2060,GUFEW112,19,2024-10-29 03:00:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
