clientid,latitude,longitude,location,block,district,rain,temp,wind,winddirection,humidity,ldate,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag,Id
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,30.7,0,0,67.8,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57073
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,32.4,0,0,59.7,10/29/2024 17:30,10/29/2024 17:57,1,0,0,NULL,1,57075
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,29.3,0,0,72.2,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57159
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,29.8,0,0,71.3,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57169
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,30.3,0,0,70,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57177
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,29.5,0,0,69,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57192
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,30.1,0,0,69.1,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57203
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,29.6,0,0,73.2,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57206
10265,26.871763,83.35824,VILL-PARMESHWARPUR,CHARGAWAN,Gorakhpur,0,31.4,0,0,65.2,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57209
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,30.4,0,343,66.3,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57212
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,27.5,0,0,74.2,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57214
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,28.9,0,0,69.3,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57221
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,28.8,0,259,70.7,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57229
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,30.1,0,0,69.5,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57230
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,31.5,0,0,63.8,10/29/2024 18:30,10/29/2024 18:57,1,0,0,NULL,1,57231
10293,26.87895,83.432465,P KHUTHAN KHAS,CHARGANWA,Gorakhpur,0,28.8,0,0,71.5,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57310
10263,26.548183,83.27948,VILL-MASURIYAN,URUWA,Gorakhpur,0,28.6,0,0,76.5,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57313
10265,26.871763,83.35824,VILL-PARMESHWARPUR,CHARGAWAN,Gorakhpur,0,29.4,0,0,73.6,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57316
